MOVIES,Year,RATING,VOTES,RunTime,Gross_Clean,GENRE,ONE-LINE,Director_Clean,Stars_Clean,Type,Status
Archive 81,NaN,NaN,0.0,60.0,NaN,"Drama, Horror, Sci-Fi","When archivist Dan Turner takes a mysterious job restoring a collection of damaged videotapes from 1994, he finds himself reconstructing the work of documentary filmmaker Melody Pendras and her investigation into a dangerous cult.","Rebecca Thomas, James Wan","Evan Jonigkeit, Dina Shihabi, Matt McGorry, Martin Donovan",Movie,Released
Are You the One?,2014.0,6.5,2061.0,41.0,NaN,Reality-TV,Contestants stay for 10 weeks in a holiday destination to win $1 million and hopefully find love.,NaN,"Ryan Devlin, Terrence Jenkins, Lewis Belt, Tomas Buenos",Series,Ongoing
Ares,2020.0,5.6,3974.0,32.0,NaN,"Drama, Horror, Mystery","An Amsterdam student joins a secret society that has been around since the Dutch Golden Age, but must decide how far she is willing to go to rise up the ranks.",NaN,"Jade Olieberg, Tobias Kersloot, Lisa Smit, Frieda Barnhard",Movie,Released
Areumdaun Sesang,2019.0,8.4,94.0,60.0,NaN,"Drama, Mystery","""Beautiful World,"" tells of an incident of school violence which leaves a young boy on the precipice of life and death as his family seeks for justice in his stead.",NaN,"Hee-soon Park, Ja-Hyeon Chu, Oh Man-seok, Yeo-jeong Cho",Series,Ongoing
Ari Shaffir: Double Negative,2016.0,6.8,667.0,NaN,NaN,Comedy,"Comedian Ari Shaffir steps outside of his yamaka to expose the uncomfortable truth that children are trash, and becoming an adult also brings about its own greasy problems.",Eric Abrams,Ari Shaffir,Movie,Released
"Ariana Grande: Excuse Me, I Love You",2020.0,6.4,2141.0,97.0,NaN,"Documentary, Music",Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,"Story Syndicate, Paul Dugdale","Ariana Grande, Rim Taya Shawki",Movie,Released
Arifureta Shokugyou de Sekai Saikyou,2019.0,7.0,1613.0,23.0,NaN,"Animation, Action, Adventure",NaN,NaN,"Tia Lynn Ballard, Matt Shipman, AmaLee, Patrick Seitz",Series,Ongoing
Arlo the Alligator Boy,2021.0,6.7,794.0,90.0,NaN,"Animation, Adventure, Comedy","A young humanoid alligator travels to the big city in hopes of reuniting with his estranged father, meeting a colorful cast of characters along the way.",Ryan Crego,"Michael J. Woodard, Ryan Crego, Dee Bradley Baker, Annie Potts",Movie,Released
Armed Girl's Machiavellism,2017.0,6.6,205.0,NaN,NaN,"Animation, Action, Comedy","A boy, expelled from his old school, transfers to a private academy, only to find its female students armed and on the defense, with his only chance at survival being to crossdress.",NaN,"Maggie Flecknoe, Scott Gibbs, Andrew Love, Shanae'a Moore",Movie,Released
Army of Thieves,2021.0,NaN,0.0,NaN,NaN,"Action, Crime, Horror","A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",Matthias Schweighöfer,"Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee, Stuart Martin",Movie,Released
Army of the Dead,2021.0,5.8,132378.0,148.0,NaN,"Action, Crime, Horror","Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",Zack Snyder,"Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick",Movie,Released
Army of the Dead: Lost Vegas,2022.0,NaN,0.0,NaN,NaN,"Animation, Action, Crime",Scott and highlight his rescue crew's efforts to protect all they love during the first phases of the mysterious zombie outbreak in Vegas.,NaN,"Tig Notaro, Yetide Badaki, Monica Barbaro, Ross Butler",Series,Ongoing
Arranged Marriage,NaN,NaN,0.0,NaN,NaN,Comedy,An white woman looking to land a husband asks her Indian friend's family to arrange a marriage for her.,NaN,,Movie,Released
Arrested Development,2003.0,8.7,284373.0,22.0,NaN,Comedy,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",NaN,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",Series,Ended
Arrival,2016.0,7.9,623912.0,116.0,100550000.0,"Drama, Sci-Fi",A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",Movie,Released
Arrow,2012.0,7.5,414712.0,42.0,NaN,"Action, Adventure, Crime","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",NaN,"Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson",Series,Ended
Arsenio Hall: Smart and Classy,2019.0,6.0,412.0,63.0,NaN,Comedy,"Arsenio Hall performs his first stand-up comedy special, filmed live in San Jose, California in April 2019.",Brian Volk-Weiss,Arsenio Hall,Movie,Released
Art of Flight: The Series,2012.0,8.8,189.0,NaN,NaN,Documentary,"A seven-episode TV series that focuses on the production of The Art of Flight. We follow the crew through locations including Patagonia, Jackson Hole, Alaska and Revelstoke.",NaN,"Mark Landvik, Curt Morgan, Travis Rice, Scotty Lago",Series,Ongoing
Art of the Game: Ukiyo-e Heroes,2017.0,8.1,247.0,97.0,NaN,Documentary,A Canadian craftsman and an American designer with a father and son generation gap collaborate to revive the ancient Japanese woodcut using pop-culture icons: Mario and Pokémon.,Toru Tokikawa,,Movie,Released
Article 15,2019.0,8.2,26537.0,130.0,NaN,"Crime, Drama, Mystery","In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra",Movie,Released
Artifact,2012.0,8.0,4555.0,103.0,NaN,"Documentary, Music",NaN,Jared Leto,"Jared Leto, Shannon Leto, Tomo Milicevic, Irving Azoff",Movie,Released
Aruna & Her Palate,2018.0,7.3,674.0,106.0,NaN,Drama,An epidemiologist tried to satisfy her obsession with food when she was assigned to investigate a bird flu case.,Edwin,"Dian Sastrowardoyo, Nicholas Saputra, Hannah Al Rashid, Oka Antara",Movie,Released
As We Sleep,2002.0,NaN,0.0,NaN,NaN,nan,NaN,Elizabeth Mcdonald,,Movie,Released
Ascension,2014.0,7.2,17926.0,231.0,NaN,"Drama, Sci-Fi",A young woman's murder causes the subjects of a century-long mission to populate a new world to question the true nature of the project as they approach the point of no return.,NaN,"Tricia Helfer, Gil Bellows, Brian Van Holt, Andrea Roth",Movie,Released
Aseudal Yeondaegi,2019.0,8.66,605.29,80.0,NaN,"Action, Drama, Fantasy","Sanung and the Saram propose an alliance with the Neanthal, a human-like race of monsters, but when things don't go as expected, Tagon takes command of the Great Hunt.",Won Suk Kim,"Song Joong-ki, Kim Ji-Won, Jang Dong-Gun, Kim Ok-bin",Series,Ongoing
Ash vs Evil Dead,2015.0,8.4,67180.0,30.0,NaN,"Action, Comedy, Horror","Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.",NaN,"Bruce Campbell, Ray Santiago, Dana DeLorenzo, Lucy Lawless",Series,Ended
Ashby,2015.0,6.4,15197.0,100.0,0.0,"Comedy, Crime, Drama","High-school student Ed Wallis enters into a friendship with his neighbor, Ashby, a retired CIA assassin who only has a few months left to live.",Tony McNamara,"Mickey Rourke, Nat Wolff, Emma Roberts, Sarah Silverman",Movie,Released
Ashes of Love,2018.0,8.4,1577.0,45.0,NaN,"Comedy, Fantasy, Romance","Flower Goddess dies giving birth to her daughter, Jin Mi. She was imprisoned within Shui Jing until Xu Feng, heavenly emperor's second sun enters it mistakenly. After living together for 100years he falls in love with that ignorant Jin Mi.",NaN,"Yuqi Chen, Allen Deng, Zhonghua He, Liao Jingfeng",Movie,Released
Ashley Garcia: Genius in Love,2020.0,6.9,245.0,NaN,NaN,Comedy,15-year-old scientist Ashley Garcia explores the great unknown of modern teendom after moving across the country to pursue a career in robotics.,NaN,"Jencarlos Canela, Paulina Chávez, Reed Horstmann, Conor Husting",Movie,Released
"Ashley Madison: Sex, Lies & Cyber Attacks",2016.0,5.4,339.0,46.0,NaN,"Documentary, Crime, History",The shocking story of the Ashley Madison hacking scandal.,"Havana Marking, Marc Morgenstern","Rebecca Humphries, Noel Biderman, Louise Van Der Velde, Christopher Russell",Movie,Released
Ask 101,2020.0,7.67,1450.0,40.0,NaN,"Comedy, Drama, Romance","In 1990s Turkey, a group of teenage outcasts band together to make their beloved teacher fall in love so she'll have a reason to stay in town with them.",Ahmet Katiksiz,"Kubilay Aka, Mert Yazicioglu, Alina Boz, Selahattin Pasali",Series,Ongoing
Ask Taktikleri,NaN,NaN,0.0,NaN,NaN,Romance,NaN,Emre Kabakusak,"Demet Özdemir, Sukru Ozyildiz, Dogukan Polat, Özgür Ozan",Movie,Released
Ask the Doctor,2017.0,6.6,261.0,28.0,NaN,Documentary,NaN,NaN,"Sandro Demaio, Shalin Naik, Renee Lim, Caroline West",Series,Ongoing
Ask the StoryBots,2016.0,8.4,750.0,24.0,NaN,"Animation, Adventure, Comedy","Based on the award-winning educational apps, the StoryBots are curious little creatures who live in the world beneath our screens and go on fun adventures to help answer kids' questions.",NaN,"Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill",Series,Ended
Ask-i Memnu,2008.0,7.4,12276.0,90.0,NaN,"Drama, Romance",NaN,NaN,"Beren Saat, Kivanç Tatlitug, Nebahat Çehre, Hazal Kaya",Series,Ended
Asktan Kaçilmaz,2014.0,6.2,46.0,100.0,NaN,"Drama, Romance",NaN,NaN,"Berk Oktay, Pelin Akil, Çagdas Onur Öztürk, Ceren Hindistan",Series,Ongoing
Asobi Asobase,2018.0,7.9,875.0,24.0,NaN,"Animation, Comedy","Three girls form a school club. They play games, but the outcomes often alarm them.",NaN,"Hina Kino, Rika Nagae, Konomi Kohara, Maki Izawa",Series,Ongoing
Asperger's Are Us,2016.0,6.7,680.0,82.0,NaN,"Documentary, Comedy, Drama","In this coming of age documentary, four friends on the Autism spectrum whom have bonded through humor and performed as the comedy troupe ""Asperger's Are Us"" will prepare for one final, ambitious show before going their separate ways.",Alex Lehmann,"Noah Britton, Ethan Finlan, Jack Hanke, New Michael Ingemi",Movie,Released
Assassin's Creed,NaN,NaN,0.0,NaN,NaN,"Action, Adventure, Drama",Plot Under Wraps.,NaN,,Movie,Released
Assassinio sul Tevere,1979.0,6.3,259.0,96.0,NaN,"Comedy, Crime, Drama",NaN,Bruno Corbucci,"Tomas Milian, Marina Ripa di Meana, Roberta Manfredi, Alberto Farnese",Movie,Released
Astronomy Club,2019.0,6.8,99.0,20.0,NaN,Comedy,Comedy to discuss real-world topics. Exploring an array of topics ranging from pop culture and social issues to the black experience.,"J.J. Adler, Ryan Anthony Martin","Jonathan Braylock, Ray Cordova, James III, Caroline Martin",Movie,Released
Astérix,NaN,NaN,0.0,NaN,NaN,"Animation, Action, Adventure","In the glory days of the Roman Empire, one village of fierce French warriors holds the Romans at bay.",NaN,,Movie,Released
Astérix,2023.0,NaN,0.0,NaN,NaN,"Animation, Action, Adventure",NaN,NaN,,Movie,Released
Asukô mâchi: Asuka kôgyô kôkô monogatari,2011.0,7.2,63.0,45.0,NaN,Drama,NaN,NaN,"Emi Takei, Tôri Matsuzaka, Kento Kaku, Takuya Ishida",Series,Ongoing
At the Dolphin Bay,2003.0,7.1,29.0,NaN,NaN,"Comedy, Drama, Romance","Legend has it a dolphin once helped to reunite a pair of tragic lovers. From then on, the well-adored animal became the guardian of love. At Dolphin Bay, a tale of love and myth continues.",NaN,"Angela Shao-Han Chang, Joyce Chao, Jill Hsu, Ambrose Hui",Movie,Released
Atari: Game Over,2014.0,6.7,5762.0,66.0,NaN,Documentary,"A crew digs up all of the old Atari 2600 game cartridges of ""E.T. the Extra-Terrestrial"" that were tossed into a landfill in the 1980s.",Zak Penn,"Zak Penn, Joe Lewandowski, Robert Rentschler, Paul Sanchez",Movie,Released
Ataúd Blanco: El Juego Diabólico,2016.0,4.1,781.0,75.0,NaN,"Action, Horror, Thriller","Virginia will do the impossible in order to rescue her little daughter who has been abducted. After an accident, she has the chance to live one day more to save her. On her path, she will find out that there are worst things than death.",Daniel de la Vega,"Julieta Cardinali, Eleonora Wexler, Rafael Ferro, Damián Dreizik",Movie,Released
Atelier,2015.0,7.2,877.0,50.0,NaN,"Comedy, Drama","Tokita Mayuko who was majored in textile technology moved to Tokyo and finally found a job in Ginza. Mayuko's dream is to develop new kinds of fabric, but she ends up working in a handmade luxury lingerie atelier called Emotion.",NaN,"Mao Daichi, Mirei Kiritani, Mayuko Kawakita, Ken Kaito",Movie,Released
